City Bowl,Northern Suburbs,Atlantic Seaboard,Southern Suburbs,South Peninsula,Cape Flats,Helderberg,West Coast
Bo-Kaap (Malay Quarter),Belhar,Bantry Bay,Bergvliet,Capri Village,Athlone,Gordon's Bay,Bloubergstrand
Devil's Peak Estate,Bellville,Camps Bay,Bishopscourt,Clovelly,Bishop Lavis,Somerset West,Bothasig
De Waterkant,Brackenfell,Clifton,Claremont,Fish Hoek,Bonteheuwel,Strand,Burgundy Estate
Foreshore,Brooklyn,Fresnaye,Constantia,Glencairn,Crawford,Firgrove,Edgemead
Gardens,Durbanville,Green Point,Diep River,Kalk Bay,Delft,,Melkbosstrand
Higgovale,Elsie's River,Hout Bay,Harfield Village,Kommetjie,Electric City,,Montague Gardens
Lower Vrede (District Six),Goodwood,Imizamo Yethu,Heathfield,Lakeside,Elsie's River,,Milnerton
Oranjezicht,Kensington,Llandudno,Kenilworth,Marina da Gama,Epping,,Richwood
Salt River,Kraaifontein,Mouille Point,Kenwyn,Masiphumelele,Grassy Park,,Tableview
Schotse Kloof (Malay Quarter),Kuils River,Sea Point,Kirstenhof,Muizenberg,Gugulethu,,West Beach
Tamboerskloof,Loevenstein,Three Anchor Bay,Kreupelbosch,Noordhoek (PO boxes only),Hanover Park,,Parklands
University Estate,Maitland,,Meadowridge,Ocean View,Kalksteenfontein,,Atlantis
Vredehoek,Monte Vista,,Mowbray,Scarborough (PO boxes only),Khayelitsha,,
Walmer Estate (District Six),Panorama,,Ndabeni,Simon's Town,Langa,,
Woodstock (including Upper Woodstock),Parow,,Newlands,St James,Lansdowne,,
Zonnebloem (District Six),Pinelands,,Observatory,Sunnydale,Lavender Hill,,
,Plattekloof,,Plumstead,Sun Valley,Lotus River,,
,Thornton,,Retreat,,Macassar,,
,Rugby,,Rondebosch,,Manenberg,,
,,,Rondebosch East,,Mitchells Plain,,
,,,Rosebank,,Nyanga,,
,,,Steenberg,,Ottery,,
,,,SouthField,,Pelican Park,,
,,,Tokai,,Philippi,,
,,,Wynberg,,Samora Micheal,,
,,,,,Strandfontein,,
